Borough,Neighbourhood,game,year,Ticket_sales,Net_sales,Income,SES,Education,MBSA,Population,jackpot_size
Central Toronto,The Annex / North Midtown / Yorkville,Lottario,2014,58.07123287671233,188.3123287671233,35734,3.602324558,15.53738019,0.795071336,25056,386084.9315068493
Central Toronto,The Annex / North Midtown / Yorkville,Lottario,2015,64.85753424657534,205.64383561643837,35734,3.602324558,15.53738019,0.795071336,25056,494164.38356164383
Central Toronto,The Annex / North Midtown / Yorkville,Lotto 649,2012,622.4071038251366,3058.4863387978144,35734,3.602324558,15.53738019,0.795071336,25056,10366120.218579235
Central Toronto,The Annex / North Midtown / Yorkville,Lotto 649,2013,625.2630136986302,3484.1698630136984,35734,3.602324558,15.53738019,0.795071336,25056,10890410.95890411
Central Toronto,The Annex / North Midtown / Yorkville,Lotto 649,2014,457.66301369863015,2687.745205479452,35734,3.602324558,15.53738019,0.795071336,25056,8641095.89041096
Central Toronto,The Annex / North Midtown / Yorkville,Lotto 649,2015,514.8876712328768,3069.3698630136987,35734,3.602324558,15.53738019,0.795071336,25056,14010958.90410959
Central Toronto,The Annex / North Midtown / Yorkville,Lotto Max,2012,492.8306010928962,4451.393442622951,35734,3.602324558,15.53738019,0.795071336,25056,35483606.55737705
Central Toronto,The Annex / North Midtown / Yorkville,Lotto Max,2013,376.36986301369865,3324.123287671233,35734,3.602324558,15.53738019,0.795071336,25056,27515068.493150685
Central Toronto,The Annex / North Midtown / Yorkville,Lotto Max,2014,363.7178082191781,3041.4794520547944,35734,3.602324558,15.53738019,0.795071336,25056,28005479.452054795
Central Toronto,The Annex / North Midtown / Yorkville,Lotto Max,2015,452.6849315068493,3860.054794520548,35734,3.602324558,15.53738019,0.795071336,25056,40539726.02739726
Downtown Toronto,Berczy Park,Lottario,2012,54.80601092896175,159.2486338797814,50271,4.923946857,14.40617761,0.826419214,6436,448142.07650273223
Downtown Toronto,Berczy Park,Lottario,2013,64.02472527472527,204.44505494505495,50271,4.923946857,14.40617761,0.826419214,6436,487417.5824175824
Downtown Toronto,Berczy Park,Lottario,2014,50.202739726027396,161.35616438356163,50271,4.923946857,14.40617761,0.826419214,6436,386084.9315068493
Downtown Toronto,Berczy Park,Lottario,2015,57.989041095890414,187.52328767123288,50271,4.923946857,14.40617761,0.826419214,6436,494164.38356164383
Downtown Toronto,Berczy Park,Lotto 649,2012,547.3524590163935,2616.44262295082,50271,4.923946857,14.40617761,0.826419214,6436,10366120.218579235
Downtown Toronto,Berczy Park,Lotto 649,2013,546.4767123287671,2935.1260273972603,50271,4.923946857,14.40617761,0.826419214,6436,10890410.95890411
Downtown Toronto,Berczy Park,Lotto 649,2014,393.6575342465753,2438.5561643835617,50271,4.923946857,14.40617761,0.826419214,6436,8641095.89041096
Downtown Toronto,Berczy Park,Lotto 649,2015,452.1945205479452,2810.8027397260275,50271,4.923946857,14.40617761,0.826419214,6436,14010958.90410959
Downtown Toronto,Berczy Park,Lotto Max,2012,494.06301369863013,4690.917808219178,50271,4.923946857,14.40617761,0.826419214,6436,35547945.20547945
Downtown Toronto,Berczy Park,Lotto Max,2013,367.36712328767123,3393.3561643835615,50271,4.923946857,14.40617761,0.826419214,6436,27515068.493150685
Downtown Toronto,Berczy Park,Lotto Max,2014,349.8794520547945,3166.2328767123286,50271,4.923946857,14.40617761,0.826419214,6436,28005479.452054795
Downtown Toronto,Berczy Park,Lotto Max,2015,450.6904109589041,4002.4657534246576,50271,4.923946857,14.40617761,0.826419214,6436,40539726.02739726
Downtown Toronto,Central Bay Street,Lottario,2012,123.30327868852459,327.844262295082,27644,3.464446904,16.9400722,0.826621924,7001,448142.07650273223
Downtown Toronto,Central Bay Street,Lottario,2013,126.92876712328767,354.6,27644,3.464446904,16.9400722,0.826621924,7001,486767.12328767125
Downtown Toronto,Central Bay Street,Lottario,2014,106.17260273972603,290.8191780821918,27644,3.464446904,16.9400722,0.826621924,7001,386084.9315068493
Downtown Toronto,Central Bay Street,Lottario,2015,126.55068493150685,346.8821917808219,27644,3.464446904,16.9400722,0.826621924,7001,494164.38356164383
Downtown Toronto,Central Bay Street,Lotto 649,2012,1083.4125683060108,5111.48087431694,27644,3.464446904,16.9400722,0.826621924,7001,10366120.218579235
Downtown Toronto,Central Bay Street,Lotto 649,2013,1026.2438356164384,5357.28493150685,27644,3.464446904,16.9400722,0.826621924,7001,10890410.95890411
Downtown Toronto,Central Bay Street,Lotto 649,2014,788.3945205479451,4598.408219178083,27644,3.464446904,16.9400722,0.826621924,7001,8641095.89041096
Downtown Toronto,Central Bay Street,Lotto 649,2015,899.0109589041095,5318.893150684931,27644,3.464446904,16.9400722,0.826621924,7001,14010958.90410959
Downtown Toronto,Central Bay Street,Lotto Max,2012,1117.3934426229507,10466.03825136612,27644,3.464446904,16.9400722,0.826621924,7001,35483606.55737705
Downtown Toronto,Central Bay Street,Lotto Max,2013,778.5397260273973,7082.2054794520545,27644,3.464446904,16.9400722,0.826621924,7001,27515068.493150685
Downtown Toronto,Central Bay Street,Lotto Max,2014,777.8493150684932,6921.109589041096,27644,3.464446904,16.9400722,0.826621924,7001,28005479.452054795
Downtown Toronto,Central Bay Street,Lotto Max,2015,955.8821917808219,8761.109589041096,27644,3.464446904,16.9400722,0.826621924,7001,40539726.02739726
Downtown Toronto,Christie,Lottario,2012,80.18032786885246,284.09562841530055,28462,0.780260081,10.95976827,0.706852138,32075,448142.07650273223
Downtown Toronto,Christie,Lottario,2013,88.81917808219178,331.73150684931505,28462,0.780260081,10.95976827,0.706852138,32075,486767.12328767125
Downtown Toronto,Christie,Lottario,2014,79.852054794520555,302.21643835616436,28462,0.780260081,10.95976827,0.706852138,32075,386084.9315068493
Downtown Toronto,Christie,Lottario,2015,91.0986301369863,343.44109589041096,28462,0.780260081,10.95976827,0.706852138,32075,494164.38356164383
Downtown Toronto,Christie,Lotto 649,2012,672.7021857923497,3594.7049180327867,28462,0.780260081,10.95976827,0.706852138,32075,10366120.218579235
Downtown Toronto,Christie,Lotto 649,2013,666.7178082191781,3856.9424657534246,28462,0.780260081,10.95976827,0.706852138,32075,10890410.95890411
Downtown Toronto,Christie,Lotto 649,2014,511.28767123287673,3314.6383561643834,28462,0.780260081,10.95976827,0.706852138,32075,8641095.89041096
Downtown Toronto,Christie,Lotto 649,2015,550.8794520547946,3573.328767123288,28462,0.780260081,10.95976827,0.706852138,32075,14010958.90410959
Downtown Toronto,Christie,Lotto Max,2012,461.0027322404372,4039.3169398907103,28462,0.780260081,10.95976827,0.706852138,32075,35483606.55737705
Downtown Toronto,Christie,Lotto Max,2013,352.58082191780824,2942.698630136986,28462,0.780260081,10.95976827,0.706852138,32075,27515068.493150685
Downtown Toronto,Christie,Lotto Max,2014,352.6027397260274,2912.328767123288,28462,0.780260081,10.95976827,0.706852138,32075,28005479.452054795
Downtown Toronto,Christie,Lotto Max,2015,426.1123287671233,3640.849315068493,28462,0.780260081,10.95976827,0.706852138,32075,40539726.02739726
Downtown Toronto,Church and Wellesley,Lottario,2012,68.51366120218579,203.22677595628414,34577,2.813549537,14.66158059,0.740161876,26207,448142.07650273223
Downtown Toronto,Church and Wellesley,Lottario,2013,73.08767123287672,222.9945205479452,34577,2.813549537,14.66158059,0.740161876,26207,486767.12328767125
Downtown Toronto,Church and Wellesley,Lottario,2014,58.602739726027394,172.46575342465752,34577,2.813549537,14.66158059,0.740161876,26207,386084.9315068493
Downtown Toronto,Church and Wellesley,Lottario,2015,66.48219178082192,199.46027397260275,34577,2.813549537,14.66158059,0.740161876,26207,494164.38356164383
Downtown Toronto,Church and Wellesley,Lotto 649,2012,606.3360655737705,3081.377049180328,34577,2.813549537,14.66158059,0.740161876,26207,10366120.218579235
Downtown Toronto,Church and Wellesley,Lotto 649,2013,622.5561643835616,3567.9753424657533,34577,2.813549537,14.66158059,0.740161876,26207,10890410.95890411
Downtown Toronto,Church and Wellesley,Lotto 649,2014,452.0904109589041,2943.567123287671,34577,2.813549537,14.66158059,0.740161876,26207,8641095.89041096
Downtown Toronto,Church and Wellesley,Lotto 649,2015,498.5835616438356,3464.9671232876713,34577,2.813549537,14.66158059,0.740161876,26207,14010958.90410959
Downtown Toronto,Church and Wellesley,Lotto Max,2012,525.4043715846994,4882.937158469946,34577,2.813549537,14.66158059,0.740161876,26207,35483606.55737705
Downtown Toronto,Church and Wellesley,Lotto Max,2013,396.45753424657534,3627.5342465753424,34577,2.813549537,14.66158059,0.740161876,26207,27515068.493150685
Downtown Toronto,Church and Wellesley,Lotto Max,2014,384.3808219178082,3370.301369863014,34577,2.813549537,14.66158059,0.740161876,26207,28005479.452054795
Downtown Toronto,Church and Wellesley,Lotto Max,2015,464.78356164383564,4118.054794520548,34577,2.813549537,14.66158059,0.740161876,26207,40539726.02739726
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lottario,2012,86.69125683060109,261.827868852459,49370,4.695191141,14.54719788,0.800811359,30669,448142.07650273223
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lottario,2013,104.13972602739726,306.93150684931504,49370,4.695191141,14.54719788,0.800811359,30669,486767.12328767125
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lottario,2014,84.2986301369863,245.16986301369863,49370,4.695191141,14.54719788,0.800811359,30669,386084.9315068493
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lottario,2015,95.31506849315069,281.49041095890414,49370,4.695191141,14.54719788,0.800811359,30669,494164.38356164383
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto 649,2012,945.3715846994536,4698.475409836065,49370,4.695191141,14.54719788,0.800811359,30669,10366120.218579235
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto 649,2013,1016.8301369863013,5562.767123287671,49370,4.695191141,14.54719788,0.800811359,30669,10890410.95890411
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto 649,2014,756.4767123287671,4789.627397260274,49370,4.695191141,14.54719788,0.800811359,30669,8641095.89041096
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto 649,2015,840.6821917808219,5312.432876712329,49370,4.695191141,14.54719788,0.800811359,30669,14010958.90410959
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto Max,2012,1053.7131147540983,10508.469945355191,49370,4.695191141,14.54719788,0.800811359,30669,35483606.55737705
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto Max,2013,800.5452054794521,7484.273972602739,49370,4.695191141,14.54719788,0.800811359,30669,27515068.493150685
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto Max,2014,790.4219178082192,7278.3835616438355,49370,4.695191141,14.54719788,0.800811359,30669,28005479.452054795
Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Lotto Max,2015,960.3561643835617,9026.397260273972,49370,4.695191141,14.54719788,0.800811359,30669,40539726.02739726
Downtown Toronto,"Garden District, Ryerson",Lottario,2012,73.94262295081967,236.1912568306011,27600,1.549405949,13.01268201,0.734842951,11352,448142.07650273223
Downtown Toronto,"Garden District, Ryerson",Lottario,2013,90.06849315068493,255.47123287671232,27600,1.549405949,13.01268201,0.734842951,11352,486767.12328767125
Downtown Toronto,"Garden District, Ryerson",Lottario,2014,65.88219178082191,185.96986301369864,27600,1.549405949,13.01268201,0.734842951,11352,386084.9315068493
Downtown Toronto,"Garden District, Ryerson",Lottario,2015,85.63287671232877,256.73972602739724,27600,1.549405949,13.01268201,0.734842951,11352,494164.38356164383
Downtown Toronto,"Garden District, Ryerson",Lotto 649,2012,680.4071038251366,3101.928961748634,27600,1.549405949,13.01268201,0.734842951,11352,10366120.218579235
Downtown Toronto,"Garden District, Ryerson",Lotto 649,2013,757.331506849315,3722.9260273972604,27600,1.549405949,13.01268201,0.734842951,11352,10890410.95890411
Downtown Toronto,"Garden District, Ryerson",Lotto 649,2014,487.95616438356166,2781.254794520548,27600,1.549405949,13.01268201,0.734842951,11352,8641095.89041096
