FSA,geo_id,income,education,mbsa,ses,Borough,Neighbourhood,longitude,latitude
M8Y,32007385,39565,9.222080245,0.645315904,0.8987125,Etobicoke,Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East,-79.49717026129032,43.63373324516129
M8Z,32007386,39653,8.676577469,0.669982446,0.910094027,Etobicoke,Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West,-79.5177843801917,43.62943923322684
M9A,32007387,32917,10.27,0.675933726,0.785574716,Etobicoke,Islington Avenue,-79.52765396654276,43.66579896654275
M9B,32007388,34879,8.977837027,0.649503722,0.380725094,Etobicoke,West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale,-79.55266382399213,43.65211440904621
M9C,32007389,33013,8.057174732,0.595287958,-0.488515948,Etobicoke,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood,-79.57310647981545,43.64452348788927
M9L,32007390,22557,5.05960817,0.357526882,-4.196615888,North York,Humber Summit,-79.5601680928382,43.75637125729443
M9M,32007391,23529,5.309725928,0.389026199,-3.793721788,North York,Humberlea / Emery,-79.53774206578947,43.73234374122807
M9N,32007392,25029,5.364619465,0.462800458,-3.097426453,York,Weston,-79.51488078671329,43.704107083916085
M9P,32007393,28098,7.32029703,0.575116159,-1.36113696,Etobicoke,Westmount,-79.53068101915709,43.69295382950192
M9R,32007394,26699,6.629368486,0.484898227,-2.368041046,Etobicoke,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens,-79.556715713073,43.6878195959253
M9V,32007395,21899,6.02708559,0.366205306,-3.891711184,Etobicoke,South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens,-79.58362750561798,43.7415776516854
