M1B,67251.0
M1C,35601.0
M1E,46398.0
M1G,30243.0
M1H,23706.0
M1J,36163.0
M1K,47286.0
M1L,32981.0
M1M,22919.0
M1N,21505.0
M1P,43305.0
M1R,28943.0
M1S,36505.0
M1T,34364.0
M1V,56313.0
M1W,49590.0
M1X,14744.0
M2H,25331.0
M2J,54104.0
M2K,19897.0
M2L,12025.0
M2M,32696.0
M2N,67114.0
M2P,7813.0
M2R,39583.0
M3A,34435.0
M3B,13499.0
M3C,38289.0
M3H,34535.0
M3J,25356.0
M3K,5889.0
M3L,18000.0
M3M,23727.0
M3N,42762.0
M4A,14150.0
M4B,18453.0
M4C,45822.0
M4E,24598.0
M4G,18030.0
M4H,18478.0
M4J,35146.0
M4K,31624.0
M4L,31544.0
M4M,23135.0
M4N,15194.0
M4P,19185.0
M4R,11048.0
M4S,25627.0
M4T,10094.0
M4V,17271.0
M4W,14022.0
M4X,20387.0
M4Y,26207.0
M5A,34649.0
M5B,11352.0
M5C,2974.0
M5E,6436.0
M5G,7001.0
M5H,1027.0
M5J,10454.0
M5K,5.0
M5L,5.0
M5M,25852.0
M5N,16349.0
M5P,18343.0
M5R,25056.0
M5S,13690.0
M5T,18705.0
M5V,30669.0
M5X,5.0
M6A,19754.0
M6B,29236.0
M6C,24256.0
M6E,37920.0
M6G,32075.0
M6H,42856.0
M6J,28949.0
M6K,35320.0
M6L,20807.0
M6M,41954.0
M6N,41312.0
M6P,37959.0
M6R,19439.0
M6S,31548.0
M7A,0.0
M8V,31921.0
M8W,20046.0
M8X,10481.0
M8Y,19805.0
M8Z,15302.0
M9A,33520.0
M9B,30182.0
M9C,36672.0
M9L,11998.0
M9M,20681.0
M9N,24946.0
M9P,20970.0
M9R,32581.0
M9V,55949.0
M9W,41164.0
